wp_id,slug,Chart_url,link,title,BN:Cost of living,BN:Housing,BN:Food security and nutrition,BN:Financial assistance,Housing:Housing,Demographic:Living arrangements,Demographics:Population,Econ:Cost of living,Econ:Financial assistance,Econ:Economic impact,Child Care:Access,Child development:Service access and utilization,Child development:Standardized tests and screening,Education:Enrollment,Education:Standardized tests,Education:Student characteristics,Mental health:Access,Mental health:Prevalence,PH:Mental health,PH:Access and utilization,PH:Food security and nutrition,PH:Perinatal health,R:Food security and nutrition,R:Housing,R:Cost of living,R:Mental health,R:Other environmental factors,R:Social and emotional,UPK:Access and utilization,UPK:Standardized tests,Workforce:Paid Leave,Geo_state,Geo_AHS_District,Geo_County,Geo_SU_SD,Geo_HSA,Goal 1 (healthy start),Goal 2 (families and comm),Goal 3 (opportunties),Goal 4 (integrated/resource/data-drive)
143,elevated-blood-lead-levels,/linechart/elevated_blood_lead_levels:chart,https://vermontkidsdata.org/elevated-blood-lead-levels/,Children with elevated blood lead levels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1926,family-supportive-housing,/columnchart/fsh:chart,https://vermontkidsdata.org/family-supportive-housing/,Families served by Family Supportive Housing (FSH),0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
181,flourishing-under-6,/columnchart/flourishing_children:chart,https://vermontkidsdata.org/flourishing-under-6/,Children age 6 months through 5 years who are flourishing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0
218,free-reduced-lunch,/linechart/free_reduced_lunch:chart,https://vermontkidsdata.org/free-reduced-lunch/,Children eligible for Free and Reduced Lunch,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
149,housing-cost-burden,/columnchart/households_30pct_housing:chart,https://vermontkidsdata.org/households-cost-burdened-by-housing/,Households with children spending 30% or more of their income on housing,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
161,improved-social-and-emotional-skills-from-cis-ei,/linechart/children_improved_early_intervention:chart,https://vermontkidsdata.org/improved-social-and-emotional-skills-from-cis-ei/,Improved social and emotional skills from Early Intervention,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
241,intended-pregnancies,/linechart/intended_pregnancies:chart,https://vermontkidsdata.org/intended-pregnancies/,Intended pregnancies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
214,low-birth-weight,/linechart/low_birthweight:chart,https://vermontkidsdata.org/low-birth-weight/,Infants with low birth weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
379,mental-health-crisis-services,/linechart/children_crisis_services:chart,https://vermontkidsdata.org/mental-health-crisis-services/,Children receiving crisis services from Designated Mental Health Agencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
239,no-parental-leave,/columnchart/women_no_leave:chart,https://vermontkidsdata.org/no-parental-leave/,Birthing parents without paid parental leave,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0
173,out-of-home-custody,/stackedcolumnchart/ooh_custody:chart,https://vermontkidsdata.org/out-of-home-custody/,Children age 0-9 in out of home protective custody,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0
157,parental-competence-cis-ei,/linechart/families_early_intervention:chart,https://vermontkidsdata.org/parental-competence-cis-ei/,Increased parental competance from Early Intervention,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
197,preventive-dental-visit,/columnchart/preventative_dental:chart,https://vermontkidsdata.org/preventive-dental-visit/,Children under 9 with a preventive dental visit in the past year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
170,ready-for-k,/linechart/r4k:chart,https://vermontkidsdata.org/ready-for-k/,Children ready for Kindergarten (R4K!S),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
376,routine-mental-health-services,/linechart/children_designated_mental_agencies:chart,https://vermontkidsdata.org/routine-mental-health-services/,Children receiving routine mental health services from Designated Mental Health Agencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
208,substance-use-during-pregnancy,/columnchart/substance_use_pregnancy:chart,https://vermontkidsdata.org/substance-use-during-pregnancy/,Substance use during pregnancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
166,third-grade-reading,/columnchart/57,https://vermontkidsdata.org/third-grade-assessments/,Third grade reading proficiency,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
151,unhoused-children,/columnchart/mckinney_vento_u9:chart,https://vermontkidsdata.org/unhoused-children/,Children experiencing homelessness (McKinney Vento),0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
393,upk-enrollment,/linechart/72,https://vermontkidsdata.org/upk-enrollment/,Children enrolled in Universal Prekindergarten Education,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
212,vaccination-coverage,/linechart/immunizations:chart,https://vermontkidsdata.org/vaccination-coverage/,Children fully vaccinated by age 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
145,wic-enrollment,/linechart/children_wic_snap:chart_wic,https://vermontkidsdata.org/children-served-by-wic/,"Children served by the Women, Infants, and Children (WIC) program",0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
1873,youth-boarding-emergency-departments,/linechart/ed:columnchart,https://vermontkidsdata.org/youth-boarding-emergency-departments/,Emergency Department Placement Wait Times for Children with a Primary Mental Health Diagnosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2274,wage-benchmarks,/columnchart/wage_benchmarks:chart,https://vermontkidsdata.org/wage-benchmarks/,Wage Benchmarks,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0
