geo_type,geography,year,category,percent
SU/District,Greater Rutland County SU,2019,Not Free and Reduced Lunch Eligible,0.899
SU/District,Greater Rutland County SU,2019,Attended Publicly Funded PreK,0.802
SU/District,Greater Rutland County SU,2019,Did Not Attend Publicly Funded PreK,0.913
SU/District,Hartford SD,2019,,0.37
SU/District,Hartford SD,2019,All Students Surveyed,0.609
SU/District,Hartford SD,2019,Boys,0.597
SU/District,Hartford SD,2019,Girls,0.629
SU/District,Hartford SD,2019,Free and Reduced Lunch Eligible,0.37
SU/District,Hartford SD,2019,Not Free and Reduced Lunch Eligible,0.708
SU/District,Hartford SD,2019,Attended Publicly Funded PreK,0.594
SU/District,Hartford SD,2019,Did Not Attend Publicly Funded PreK,0.652
SU/District,Harwood Unified SD,2019,,0.923
SU/District,Harwood Unified SD,2019,All Students Surveyed,0.953
SU/District,Harwood Unified SD,2019,Boys,0.918
SU/District,Harwood Unified SD,2019,Girls,0.985
SU/District,Harwood Unified SD,2019,Free and Reduced Lunch Eligible,0.923
SU/District,Harwood Unified SD,2019,Not Free and Reduced Lunch Eligible,0.961
SU/District,Harwood Unified SD,2019,Attended Publicly Funded PreK,0.964
SU/District,Harwood Unified SD,2019,Did Not Attend Publicly Funded PreK,0.883
SU/District,Kingdom East SD,2019,,0.825
SU/District,Kingdom East SD,2019,All Students Surveyed,0.874
SU/District,Kingdom East SD,2019,Boys,0.773
SU/District,Kingdom East SD,2019,Girls,0.949
SU/District,Kingdom East SD,2019,Free and Reduced Lunch Eligible,0.825
SU/District,Kingdom East SD,2019,Not Free and Reduced Lunch Eligible,0.935
SU/District,Kingdom East SD,2019,Attended Publicly Funded PreK,0.885
SU/District,Kingdom East SD,2019,Did Not Attend Publicly Funded PreK,0.813
SU/District,Lamoille North SU,2019,,0.833
SU/District,Lamoille North SU,2019,All Students Surveyed,0.842
SU/District,Lamoille North SU,2019,Boys,0.807
SU/District,Lamoille North SU,2019,Girls,0.873
SU/District,Lamoille North SU,2019,Free and Reduced Lunch Eligible,0.833
SU/District,Lamoille North SU,2019,Not Free and Reduced Lunch Eligible,0.843
SU/District,Lamoille North SU,2019,Attended Publicly Funded PreK,0.825
SU/District,Lamoille North SU,2019,Did Not Attend Publicly Funded PreK,0.931
SU/District,Lamoille South SU,2019,,0.838
SU/District,Lamoille South SU,2019,All Students Surveyed,0.907
SU/District,Lamoille South SU,2019,Boys,0.867
SU/District,Lamoille South SU,2019,Girls,0.948
SU/District,Lamoille South SU,2019,Free and Reduced Lunch Eligible,0.838
SU/District,Lamoille South SU,2019,Not Free and Reduced Lunch Eligible,0.938
SU/District,Lamoille South SU,2019,Attended Publicly Funded PreK,0.921
SU/District,Lamoille South SU,2019,Did Not Attend Publicly Funded PreK,0.824
SU/District,Maple Run SD,2019,,0.628
SU/District,Maple Run SD,2019,All Students Surveyed,0.79
SU/District,Maple Run SD,2019,Boys,0.747
SU/District,Maple Run SD,2019,Girls,0.83
SU/District,Maple Run SD,2019,Free and Reduced Lunch Eligible,0.628
SU/District,Maple Run SD,2019,Not Free and Reduced Lunch Eligible,0.897
SU/District,Maple Run SD,2019,Attended Publicly Funded PreK,0.78
SU/District,Maple Run SD,2019,Did Not Attend Publicly Funded PreK,0.833
SU/District,Mill River Unified SD,2019,,0.63
SU/District,Mill River Unified SD,2019,All Students Surveyed,0.741
SU/District,Mill River Unified SD,2019,Boys,0.667
SU/District,Mill River Unified SD,2019,Girls,0.815
SU/District,Mill River Unified SD,2019,Free and Reduced Lunch Eligible,0.63
SU/District,Mill River Unified SD,2019,Not Free and Reduced Lunch Eligible,0.852
SU/District,Mill River Unified SD,2019,Attended Publicly Funded PreK,0.718
SU/District,Mill River Unified SD,2019,Did Not Attend Publicly Funded PreK,0.8
SU/District,Milton SD,2019,,0.786
SU/District,Milton SD,2019,All Students Surveyed,0.89
SU/District,Milton SD,2019,Boys,0.836
SU/District,Milton SD,2019,Girls,0.958
SU/District,Milton SD,2019,Free and Reduced Lunch Eligible,0.786
SU/District,Milton SD,2019,Not Free and Reduced Lunch Eligible,0.955
SU/District,Milton SD,2019,Attended Publicly Funded PreK,0.879
SU/District,Milton SD,2019,Did Not Attend Publicly Funded PreK,0.944
SU/District,Missisquoi Valley SD,2019,,0
SU/District,Missisquoi Valley SD,2019,All Students Surveyed,0
SU/District,Missisquoi Valley SD,2019,Boys,0
SU/District,Missisquoi Valley SD,2019,Girls,0
SU/District,Missisquoi Valley SD,2019,Free and Reduced Lunch Eligible,0
SU/District,Missisquoi Valley SD,2019,Not Free and Reduced Lunch Eligible,0
SU/District,Missisquoi Valley SD,2019,Attended Publicly Funded PreK,0
SU/District,Missisquoi Valley SD,2019,Did Not Attend Publicly Funded PreK,0
SU/District,Montpelier Roxbury SD,2019,,0
SU/District,Montpelier Roxbury SD,2019,All Students Surveyed,0
SU/District,Montpelier Roxbury SD,2019,Boys,0
SU/District,Montpelier Roxbury SD,2019,Girls,0
SU/District,Montpelier Roxbury SD,2019,Free and Reduced Lunch Eligible,0
SU/District,Montpelier Roxbury SD,2019,Not Free and Reduced Lunch Eligible,0
SU/District,Montpelier Roxbury SD,2019,Attended Publicly Funded PreK,0
SU/District,Montpelier Roxbury SD,2019,Did Not Attend Publicly Funded PreK,0
SU/District,Mt Abraham Unified SD,2019,,0
SU/District,Mt Abraham Unified SD,2019,All Students Surveyed,0
SU/District,Mt Abraham Unified SD,2019,Boys,0
SU/District,Mt Abraham Unified SD,2019,Girls,0
SU/District,Mt Abraham Unified SD,2019,Free and Reduced Lunch Eligible,0
SU/District,Mt Abraham Unified SD,2019,Not Free and Reduced Lunch Eligible,0
SU/District,Mt Abraham Unified SD,2019,Attended Publicly Funded PreK,0
SU/District,Mt Abraham Unified SD,2019,Did Not Attend Publicly Funded PreK,0
SU/District,Mt Mainsfield Unified SD,2019,,0
SU/District,Mt Mainsfield Unified SD,2019,All Students Surveyed,0
SU/District,Mt Mainsfield Unified SD,2019,Boys,0
SU/District,Mt Mainsfield Unified SD,2019,Girls,0
SU/District,Mt Mainsfield Unified SD,2019,Free and Reduced Lunch Eligible,0
SU/District,Mt Mainsfield Unified SD,2019,Not Free and Reduced Lunch Eligible,0
SU/District,Mt Mainsfield Unified SD,2019,Attended Publicly Funded PreK,0
SU/District,Mt Mainsfield Unified SD,2019,Did Not Attend Publicly Funded PreK,0
SU/District,North Country SU,2019,,0.798
SU/District,North Country SU,2019,All Students Surveyed,0.844
SU/District,North Country SU,2019,Boys,0.802
SU/District,North Country SU,2019,Girls,0.9
SU/District,North Country SU,2019,Free and Reduced Lunch Eligible,0.798
SU/District,North Country SU,2019,Not Free and Reduced Lunch Eligible,0.907
SU/District,North Country SU,2019,Attended Publicly Funded PreK,0.831
SU/District,North Country SU,2019,Did Not Attend Publicly Funded PreK,0.884
SU/District,Orange East SU,2019,,0.759
SU/District,Orange East SU,2019,All Students Surveyed,0.836
SU/District,Orange East SU,2019,Boys,0.839
SU/District,Orange East SU,2019,Girls,0.833
SU/District,Orange East SU,2019,Free and Reduced Lunch Eligible,0.759
SU/District,Orange East SU,2019,Not Free and Reduced Lunch Eligible,0.923
SU/District,Orange East SU,2019,Attended Publicly Funded PreK,0.821
SU/District,Orange East SU,2019,Did Not Attend Publicly Funded PreK,0.875
SU/District,Orange Southwest SD,2019,,0.6
SU/District,Orange Southwest SD,2019,All Students Surveyed,0.786
SU/District,Orange Southwest SD,2019,Boys,0.682
SU/District,Orange Southwest SD,2019,Girls,0.9
SU/District,Orange Southwest SD,2019,Free and Reduced Lunch Eligible,0.6
SU/District,Orange Southwest SD,2019,Not Free and Reduced Lunch Eligible,0.955
SU/District,Orange Southwest SD,2019,Attended Publicly Funded PreK,0.7
SU/District,Orange Southwest SD,2019,Did Not Attend Publicly Funded PreK,0.864
SU/District,Orleans Central SU,2019,,0.684
SU/District,Orleans Central SU,2019,All Students Surveyed,0.661
SU/District,Orleans Central SU,2019,Boys,0.539
SU/District,Orleans Central SU,2019,Girls,0.767
SU/District,Orleans Central SU,2019,Free and Reduced Lunch Eligible,0.684
SU/District,Orleans Central SU,2019,Not Free and Reduced Lunch Eligible,0.611
SU/District,Orleans Central SU,2019,Attended Publicly Funded PreK,0.674
SU/District,Orleans Central SU,2019,Did Not Attend Publicly Funded PreK,0.6
SU/District,Orleans Southwest SU,2019,,0.778
SU/District,Orleans Southwest SU,2019,All Students Surveyed,0.831
SU/District,Orleans Southwest SU,2019,Boys,0.724
SU/District,Orleans Southwest SU,2019,Girls,0.933
SU/District,Orleans Southwest SU,2019,Free and Reduced Lunch Eligible,0.778
SU/District,Orleans Southwest SU,2019,Not Free and Reduced Lunch Eligible,0.913
SU/District,Orleans Southwest SU,2019,Attended Publicly Funded PreK,0.844
SU/District,Orleans Southwest SU,2019,Did Not Attend Publicly Funded PreK,0.786
SU/District,Rivendell Interstate SD,2019,,0.75
SU/District,Rivendell Interstate SD,2019,All Students Surveyed,0.815
SU/District,Rivendell Interstate SD,2019,Boys,0.733
SU/District,Rivendell Interstate SD,2019,Girls,0.917
SU/District,Rivendell Interstate SD,2019,Free and Reduced Lunch Eligible,0.75
SU/District,Rivendell Interstate SD,2019,Not Free and Reduced Lunch Eligible,0.909
SU/District,Rivendell Interstate SD,2019,Attended Publicly Funded PreK,0.87
SU/District,Rivendell Interstate SD,2019,Did Not Attend Publicly Funded PreK,0.5
SU/District,Rutland City SD,2019,,0.578
SU/District,Rutland City SD,2019,All Students Surveyed,0.68
SU/District,Rutland City SD,2019,Boys,0.571
SU/District,Rutland City SD,2019,Girls,0.797
SU/District,Rutland City SD,2019,Free and Reduced Lunch Eligible,0.578
SU/District,Rutland City SD,2019,Not Free and Reduced Lunch Eligible,0.74
SU/District,Rutland City SD,2019,Attended Publicly Funded PreK,0.523
SU/District,Rutland City SD,2019,Did Not Attend Publicly Funded PreK,0.86
SU/District,Rutland Northeast SD,2019,,0.765
SU/District,Rutland Northeast SD,2019,All Students Surveyed,0.839
SU/District,Rutland Northeast SD,2019,Boys,0.759
SU/District,Rutland Northeast SD,2019,Girls,0.949
SU/District,Rutland Northeast SD,2019,Free and Reduced Lunch Eligible,0.765
SU/District,Rutland Northeast SD,2019,Not Free and Reduced Lunch Eligible,0.881
SU/District,Rutland Northeast SD,2019,Attended Publicly Funded PreK,0.829
SU/District,Rutland Northeast SD,2019,Did Not Attend Publicly Funded PreK,0.87
SU/District,Slate Valley SD,2019,,0
SU/District,Slate Valley SD,2019,All Students Surveyed,0
SU/District,Slate Valley SD,2019,Boys,0
SU/District,Slate Valley SD,2019,Girls,0
SU/District,Slate Valley SD,2019,Free and Reduced Lunch Eligible,0
SU/District,Slate Valley SD,2019,Not Free and Reduced Lunch Eligible,0
SU/District,Slate Valley SD,2019,Attended Publicly Funded PreK,0
SU/District,Slate Valley SD,2019,Did Not Attend Publicly Funded PreK,0
SU/District,South Burlington SD,2019,,0.792
SU/District,South Burlington SD,2019,All Students Surveyed,0.934
SU/District,South Burlington SD,2019,Boys,0.918
SU/District,South Burlington SD,2019,Girls,0.947
SU/District,South Burlington SD,2019,Free and Reduced Lunch Eligible,0.792
SU/District,South Burlington SD,2019,Not Free and Reduced Lunch Eligible,0.976
SU/District,South Burlington SD,2019,Attended Publicly Funded PreK,0.93
SU/District,South Burlington SD,2019,Did Not Attend Publicly Funded PreK,0.95
SU/District,Southwest Vermont SU,2019,,0.74
SU/District,Southwest Vermont SU,2019,All Students Surveyed,0.807
SU/District,Southwest Vermont SU,2019,Boys,0.771
SU/District,Southwest Vermont SU,2019,Girls,0.849
SU/District,Southwest Vermont SU,2019,Free and Reduced Lunch Eligible,0.74
SU/District,Southwest Vermont SU,2019,Not Free and Reduced Lunch Eligible,0.946
SU/District,Southwest Vermont SU,2019,Attended Publicly Funded PreK,0.837
SU/District,Southwest Vermont SU,2019,Did Not Attend Publicly Funded PreK,0.714
SU/District,Springfield SD,2019,,0.792
SU/District,Springfield SD,2019,All Students Surveyed,0.848
SU/District,Springfield SD,2019,Boys,0.796
SU/District,Springfield SD,2019,Girls,0.914
SU/District,Springfield SD,2019,Free and Reduced Lunch Eligible,0.792
SU/District,Springfield SD,2019,Not Free and Reduced Lunch Eligible,0.936
SU/District,Springfield SD,2019,Attended Publicly Funded PreK,0.855
SU/District,Springfield SD,2019,Did Not Attend Publicly Funded PreK,0.833
SU/District,St Johnsbury SD,2019,,0.891
SU/District,St Johnsbury SD,2019,All Students Surveyed,0.852
SU/District,St Johnsbury SD,2019,Boys,0.808
SU/District,St Johnsbury SD,2019,Girls,0.893
SU/District,St Johnsbury SD,2019,Free and Reduced Lunch Eligible,0.891
SU/District,St Johnsbury SD,2019,Not Free and Reduced Lunch Eligible,0.625
SU/District,St Johnsbury SD,2019,Attended Publicly Funded PreK,0.826
SU/District,St Johnsbury SD,2019,Did Not Attend Publicly Funded PreK,1
SU/District,Two Rivers SU,2019,,0.857
SU/District,Two Rivers SU,2019,All Students Surveyed,0.91
SU/District,Two Rivers SU,2019,Boys,0.886
SU/District,Two Rivers SU,2019,Girls,0.938
SU/District,Two Rivers SU,2019,Free and Reduced Lunch Eligible,0.857
SU/District,Two Rivers SU,2019,Not Free and Reduced Lunch Eligible,0.949
SU/District,Two Rivers SU,2019,Attended Publicly Funded PreK,0.914
SU/District,Two Rivers SU,2019,Did Not Attend Publicly Funded PreK,0.889
SU/District,Washington Central SU,2019,,0.971
SU/District,Washington Central SU,2019,All Students Surveyed,0.96
SU/District,Washington Central SU,2019,Boys,0.956
SU/District,Washington Central SU,2019,Girls,0.966
SU/District,Washington Central SU,2019,Free and Reduced Lunch Eligible,0.971
SU/District,Washington Central SU,2019,Not Free and Reduced Lunch Eligible,0.8
SU/District,Washington Central SU,2019,Attended Publicly Funded PreK,0.968
SU/District,Washington Central SU,2019,Did Not Attend Publicly Funded PreK,0.917
SU/District,Washington Northeast SU,2019,,0.667
SU/District,Washington Northeast SU,2019,All Students Surveyed,0.807
SU/District,Washington Northeast SU,2019,Boys,0.667
SU/District,Washington Northeast SU,2019,Girls,1
SU/District,Washington Northeast SU,2019,Free and Reduced Lunch Eligible,0.667
SU/District,Washington Northeast SU,2019,Not Free and Reduced Lunch Eligible,1
SU/District,Washington Northeast SU,2019,Attended Publicly Funded PreK,0.786
SU/District,Washington Northeast SU,2019,Did Not Attend Publicly Funded PreK,1
SU/District,White River Valley SU,2019,,0.852
SU/District,White River Valley SU,2019,All Students Surveyed,0.802
SU/District,White River Valley SU,2019,Boys,0.744
SU/District,White River Valley SU,2019,Girls,0.861
SU/District,White River Valley SU,2019,Free and Reduced Lunch Eligible,0.852
SU/District,White River Valley SU,2019,Not Free and Reduced Lunch Eligible,0.78
SU/District,White River Valley SU,2019,Attended Publicly Funded PreK,0.788
SU/District,White River Valley SU,2019,Did Not Attend Publicly Funded PreK,0.85
SU/District,Windham Central SU,2019,,0.704
SU/District,Windham Central SU,2019,All Students Surveyed,0.807
SU/District,Windham Central SU,2019,Boys,0.714
SU/District,Windham Central SU,2019,Girls,0.882
SU/District,Windham Central SU,2019,Free and Reduced Lunch Eligible,0.704
SU/District,Windham Central SU,2019,Not Free and Reduced Lunch Eligible,0.886
SU/District,Windham Central SU,2019,Attended Publicly Funded PreK,0.804
SU/District,Windham Central SU,2019,Did Not Attend Publicly Funded PreK,0.818
SU/District,Windham Northeast SU,2019,,0.756
SU/District,Windham Northeast SU,2019,All Students Surveyed,0.806
SU/District,Windham Northeast SU,2019,Boys,0.75
SU/District,Windham Northeast SU,2019,Girls,0.857
SU/District,Windham Northeast SU,2019,Free and Reduced Lunch Eligible,0.756
SU/District,Windham Northeast SU,2019,Not Free and Reduced Lunch Eligible,0.909
SU/District,Windham Northeast SU,2019,Attended Publicly Funded PreK,0.765
SU/District,Windham Northeast SU,2019,Did Not Attend Publicly Funded PreK,0.938
SU/District,Windham Southeast SU,2019,,0.788
SU/District,Windham Southeast SU,2019,All Students Surveyed,0.847
SU/District,Windham Southeast SU,2019,Boys,0.811
SU/District,Windham Southeast SU,2019,Girls,0.888
SU/District,Windham Southeast SU,2019,Free and Reduced Lunch Eligible,0.788
SU/District,Windham Southeast SU,2019,Not Free and Reduced Lunch Eligible,0.885
SU/District,Windham Southeast SU,2019,Attended Publicly Funded PreK,0.832
SU/District,Windham Southeast SU,2019,Did Not Attend Publicly Funded PreK,0.889
SU/District,Windham Southwest SU,2019,,0.944
SU/District,Windham Southwest SU,2019,All Students Surveyed,0.949
