geo_type,geography,age,category,year,value
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Social Emotional,2018,100
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Literacy,2018,70.59
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Math,2018,85.29
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Social Emotional,2018,76.47
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Literacy,2018,88.89
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Math,2018,85.19
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Social Emotional,2018,92.59
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Literacy,2018,57.14
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Math,2018,64.29
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Social Emotional,2018,71.43
Supervisory Union/School District,RUTLAND CITY SD,3,Literacy,2018,63.83
Supervisory Union/School District,RUTLAND CITY SD,3,Math,2018,68.09
Supervisory Union/School District,RUTLAND CITY SD,3,Social Emotional,2018,72.34
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Literacy,2018,88.46
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Math,2018,92.31
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Social Emotional,2018,100
Supervisory Union/School District,SLATE VALLEY UUSD,3,Literacy,2018,92.11
Supervisory Union/School District,SLATE VALLEY UUSD,3,Math,2018,97.37
Supervisory Union/School District,SLATE VALLEY UUSD,3,Social Emotional,2018,81.58
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Literacy,2018,91.75
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Math,2018,91.75
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Social Emotional,2018,90.72
Supervisory Union/School District,SOUTHWEST VERMONT SU,3,Literacy,2018,88.89
Supervisory Union/School District,SOUTHWEST VERMONT SU,3,Math,2018,94.02
Supervisory Union/School District,SOUTHWEST VERMONT SU,3,Social Emotional,2018,95.73
Supervisory Union/School District,SPRINGFIELD SD,3,Literacy,2018,56.67
Supervisory Union/School District,SPRINGFIELD SD,3,Math,2018,80
Supervisory Union/School District,SPRINGFIELD SD,3,Social Emotional,2018,86.67
Supervisory Union/School District,ST JOHNSBURY SD,3,Literacy,2018,50
Supervisory Union/School District,ST JOHNSBURY SD,3,Math,2018,75
Supervisory Union/School District,ST JOHNSBURY SD,3,Social Emotional,2018,33.33
Supervisory Union/School District,TWO RIVERS SU,3,Literacy,2018,90
Supervisory Union/School District,TWO RIVERS SU,3,Math,2018,93.33
Supervisory Union/School District,TWO RIVERS SU,3,Social Emotional,2018,96.67
Supervisory Union/School District,WASHINGTON CENTRAL SD,3,Literacy,2018,81.48
Supervisory Union/School District,WASHINGTON CENTRAL SD,3,Math,2018,92.59
Supervisory Union/School District,WASHINGTON CENTRAL SD,3,Social Emotional,2018,88.89
Supervisory Union/School District,WHITE RIVER VALLEY SU,3,Literacy,2018,90.16
Supervisory Union/School District,WHITE RIVER VALLEY SU,3,Math,2018,96.72
Supervisory Union/School District,WHITE RIVER VALLEY SU,3,Social Emotional,2018,90.16
Supervisory Union/School District,WINDHAM NORTHEAST SU,3,Literacy,2018,84
Supervisory Union/School District,WINDHAM NORTHEAST SU,3,Math,2018,90
Supervisory Union/School District,WINDHAM NORTHEAST SU,3,Social Emotional,2018,82
Supervisory Union/School District,WINDHAM SOUTHEAST SU,3,Literacy,2018,91.8
Supervisory Union/School District,WINDHAM SOUTHEAST SU,3,Math,2018,96.72
Supervisory Union/School District,WINDHAM SOUTHEAST SU,3,Social Emotional,2018,91.8
Supervisory Union/School District,WINOOSKI SD,3,Literacy,2018,97.3
Supervisory Union/School District,WINOOSKI SD,3,Math,2018,97.3
Supervisory Union/School District,WINOOSKI SD,3,Social Emotional,2018,91.89
State,Vermont,3,Literacy,2019,0.86
State,Vermont,3,Math,2019,0.92
State,Vermont,3,Social Emotional,2019,0.89
State,Vermont,4,Literacy,2019,0.92
State,Vermont,4,Math,2019,0.85
State,Vermont,4,Social Emotional,2019,0.87
Supervisory Union/School District,,3,Literacy,2019,100
Supervisory Union/School District,,3,Math,2019,100
Supervisory Union/School District,,3,Social Emotional,2019,100
Supervisory Union/School District,,4,Literacy,2019,100
Supervisory Union/School District,,4,Math,2019,100
Supervisory Union/School District,--,4,Social Emotional,2019,95.45
Supervisory Union/School District,ADDISON CENTRAL SD,3,Literacy,2019,83.75
Supervisory Union/School District,ADDISON CENTRAL SD,3,Math,2019,93.75
Supervisory Union/School District,ADDISON CENTRAL SD,3,Social Emotional,2019,97.5
Supervisory Union/School District,ADDISON CENTRAL SD,4,Literacy,2019,90.41
Supervisory Union/School District,ADDISON CENTRAL SD,4,Math,2019,83.56
Supervisory Union/School District,ADDISON CENTRAL SD,4,Social Emotional,2019,84.93
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Literacy,2019,70.59
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Math,2019,79.41
Supervisory Union/School District,ADDISON NORTHWEST SD,3,Social Emotional,2019,73.53
Supervisory Union/School District,ADDISON NORTHWEST SD,4,Literacy,2019,93.02
Supervisory Union/School District,ADDISON NORTHWEST SD,4,Math,2019,86.05
Supervisory Union/School District,ADDISON NORTHWEST SD,4,Social Emotional,2019,86.05
Supervisory Union/School District,BARRE SD,3,Literacy,2019,76
Supervisory Union/School District,BARRE SD,3,Math,2019,85
Supervisory Union/School District,BARRE SD,3,Social Emotional,2019,89
Supervisory Union/School District,BARRE SD,4,Literacy,2019,91.41
Supervisory Union/School District,BARRE SD,4,Math,2019,75
Supervisory Union/School District,BARRE SD,4,Social Emotional,2019,84.38
Supervisory Union/School District,BENNINGTON RUTLAND SU,3,Literacy,2019,90.7
Supervisory Union/School District,BENNINGTON RUTLAND SU,3,Math,2019,95.35
Supervisory Union/School District,BENNINGTON RUTLAND SU,3,Social Emotional,2019,100
Supervisory Union/School District,BENNINGTON RUTLAND SU,4,Literacy,2019,96.49
Supervisory Union/School District,BENNINGTON RUTLAND SU,4,Math,2019,92.98
Supervisory Union/School District,BENNINGTON RUTLAND SU,4,Social Emotional,2019,91.23
Supervisory Union/School District,BURLINGTON SD,3,Literacy,2019,77.25
Supervisory Union/School District,BURLINGTON SD,3,Math,2019,85.63
Supervisory Union/School District,BURLINGTON SD,3,Social Emotional,2019,83.83
Supervisory Union/School District,BURLINGTON SD,4,Literacy,2019,84.13
Supervisory Union/School District,BURLINGTON SD,4,Math,2019,76.19
Supervisory Union/School District,BURLINGTON SD,4,Social Emotional,2019,77.25
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Literacy,2019,100
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Math,2019,94.74
Supervisory Union/School District,CALEDONIA CENTRAL SU,3,Social Emotional,2019,97.37
Supervisory Union/School District,CALEDONIA CENTRAL SU,4,Literacy,2019,100
Supervisory Union/School District,CALEDONIA CENTRAL SU,4,Math,2019,96.3
Supervisory Union/School District,CALEDONIA CENTRAL SU,4,Social Emotional,2019,96.3
Supervisory Union/School District,CENTRAL VERMONT SU,3,Literacy,2019,88
Supervisory Union/School District,CENTRAL VERMONT SU,3,Math,2019,94
Supervisory Union/School District,CENTRAL VERMONT SU,3,Social Emotional,2019,92
Supervisory Union/School District,CENTRAL VERMONT SU,4,Literacy,2019,96.67
Supervisory Union/School District,CENTRAL VERMONT SU,4,Math,2019,93.33
Supervisory Union/School District,CENTRAL VERMONT SU,4,Social Emotional,2019,98.33
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Literacy,2019,88.32
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Math,2019,94.16
Supervisory Union/School District,CHAMPLAIN VALLEY SD,3,Social Emotional,2019,90.51
Supervisory Union/School District,CHAMPLAIN VALLEY SD,4,Literacy,2019,98.16
Supervisory Union/School District,CHAMPLAIN VALLEY SD,4,Math,2019,82.82
Supervisory Union/School District,CHAMPLAIN VALLEY SD,4,Social Emotional,2019,94.48
Supervisory Union/School District,COLCHESTER SD,3,Literacy,2019,90.91
Supervisory Union/School District,COLCHESTER SD,3,Math,2019,95.45
Supervisory Union/School District,COLCHESTER SD,3,Social Emotional,2019,89.39
Supervisory Union/School District,COLCHESTER SD,4,Literacy,2019,92.06
Supervisory Union/School District,COLCHESTER SD,4,Math,2019,88.89
Supervisory Union/School District,COLCHESTER SD,4,Social Emotional,2019,88.89
Supervisory Union/School District,ESSEX WESTFORD SD,3,Literacy,2019,82.3
Supervisory Union/School District,ESSEX WESTFORD SD,3,Math,2019,84.96
Supervisory Union/School District,ESSEX WESTFORD SD,3,Social Emotional,2019,85.84
Supervisory Union/School District,ESSEX WESTFORD SD,4,Literacy,2019,94.7
Supervisory Union/School District,ESSEX WESTFORD SD,4,Math,2019,79.47
Supervisory Union/School District,ESSEX WESTFORD SD,4,Social Emotional,2019,84.77
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Literacy,2019,83.33
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Math,2019,91.67
Supervisory Union/School District,FRANKLIN NORTHEAST SU,3,Social Emotional,2019,95.83
Supervisory Union/School District,FRANKLIN NORTHEAST SU,4,Literacy,2019,90.38
Supervisory Union/School District,FRANKLIN NORTHEAST SU,4,Math,2019,82.69
Supervisory Union/School District,FRANKLIN NORTHEAST SU,4,Social Emotional,2019,84.62
Supervisory Union/School District,FRANKLIN WEST SU,3,Literacy,2019,91.46
Supervisory Union/School District,FRANKLIN WEST SU,3,Math,2019,98.78
Supervisory Union/School District,FRANKLIN WEST SU,3,Social Emotional,2019,91.46
Supervisory Union/School District,FRANKLIN WEST SU,4,Literacy,2019,85.71
Supervisory Union/School District,FRANKLIN WEST SU,4,Math,2019,84.62
Supervisory Union/School District,FRANKLIN WEST SU,4,Social Emotional,2019,92.31
Supervisory Union/School District,GRAND ISLE SU,3,Literacy,2019,58.82
Supervisory Union/School District,GRAND ISLE SU,3,Math,2019,70.59
Supervisory Union/School District,GRAND ISLE SU,3,Social Emotional,2019,76.47
Supervisory Union/School District,GRAND ISLE SU,4,Literacy,2019,81.25
Supervisory Union/School District,GRAND ISLE SU,4,Math,2019,75
Supervisory Union/School District,GRAND ISLE SU,4,Social Emotional,2019,81.25
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,3,Literacy,2019,92.45
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,3,Math,2019,90.57
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,3,Social Emotional,2019,94.34
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,4,Literacy,2019,91.67
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,4,Math,2019,81.25
Supervisory Union/School District,GREATER RUTLAND COUNTY SU,4,Social Emotional,2019,86.46
Supervisory Union/School District,HARTFORD SD,3,Literacy,2019,76.6
Supervisory Union/School District,HARTFORD SD,3,Math,2019,85.11
Supervisory Union/School District,HARTFORD SD,3,Social Emotional,2019,76.6
Supervisory Union/School District,HARTFORD SD,4,Literacy,2019,96.61
Supervisory Union/School District,HARTFORD SD,4,Math,2019,96.61
Supervisory Union/School District,HARTFORD SD,4,Social Emotional,2019,89.83
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Literacy,2019,95.24
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Math,2019,92.86
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,3,Social Emotional,2019,96.43
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,4,Literacy,2019,92.31
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,4,Math,2019,91.21
Supervisory Union/School District,HARWOOD UNIFIED UNION SUPERVISOR,4,Social Emotional,2019,91.21
Supervisory Union/School District,KINGDOM EAST SD,3,Literacy,2019,87.8
Supervisory Union/School District,KINGDOM EAST SD,3,Math,2019,87.8
Supervisory Union/School District,KINGDOM EAST SD,3,Social Emotional,2019,85.37
Supervisory Union/School District,KINGDOM EAST SD,4,Literacy,2019,89.74
Supervisory Union/School District,KINGDOM EAST SD,4,Math,2019,94.87
Supervisory Union/School District,KINGDOM EAST SD,4,Social Emotional,2019,84.62
Supervisory Union/School District,LAMOILLE NORTH SU,3,Literacy,2019,94.87
Supervisory Union/School District,LAMOILLE NORTH SU,3,Math,2019,97.44
Supervisory Union/School District,LAMOILLE NORTH SU,3,Social Emotional,2019,97.44
Supervisory Union/School District,LAMOILLE NORTH SU,4,Literacy,2019,88.89
Supervisory Union/School District,LAMOILLE NORTH SU,4,Math,2019,88.89
Supervisory Union/School District,LAMOILLE NORTH SU,4,Social Emotional,2019,77.78
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Literacy,2019,91.49
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Math,2019,93.62
Supervisory Union/School District,LAMOILLE SOUTH SU,3,Social Emotional,2019,91.49
Supervisory Union/School District,LAMOILLE SOUTH SU,4,Literacy,2019,90.28
Supervisory Union/School District,LAMOILLE SOUTH SU,4,Math,2019,88.89
Supervisory Union/School District,LAMOILLE SOUTH SU,4,Social Emotional,2019,80.56
Supervisory Union/School District,MAPLE RUN SD,3,Literacy,2019,81.33
Supervisory Union/School District,MAPLE RUN SD,3,Math,2019,85.33
Supervisory Union/School District,MAPLE RUN SD,3,Social Emotional,2019,85.33
Supervisory Union/School District,MAPLE RUN SD,4,Literacy,2019,90.6
Supervisory Union/School District,MAPLE RUN SD,4,Math,2019,78.63
Supervisory Union/School District,MAPLE RUN SD,4,Social Emotional,2019,88.03
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Literacy,2019,100
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Math,2019,94.12
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,3,Social Emotional,2019,100
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,4,Literacy,2019,100
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,4,Math,2019,96.97
Supervisory Union/School District,MILL RIVER UNIFIED UNION SUPERVI,4,Social Emotional,2019,100
Supervisory Union/School District,MILTON SD,3,Literacy,2019,100
Supervisory Union/School District,MILTON SD,3,Math,2019,96.3
Supervisory Union/School District,MILTON SD,3,Social Emotional,2019,92.59
Supervisory Union/School District,MILTON SD,4,Literacy,2019,100
Supervisory Union/School District,MILTON SD,4,Math,2019,93.33
Supervisory Union/School District,MILTON SD,4,Social Emotional,2019,96.67
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Literacy,2019,75
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Math,2019,84.09
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,3,Social Emotional,2019,61.36
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,4,Literacy,2019,94.44
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,4,Math,2019,84.92
Supervisory Union/School District,MISSISQUOI VALLEY SCHOOL DISTRIC,4,Social Emotional,2019,81.75
Supervisory Union/School District,MONTPELIER ROXBURY SD,3,Literacy,2019,83.33
Supervisory Union/School District,MONTPELIER ROXBURY SD,3,Math,2019,95.24
Supervisory Union/School District,MONTPELIER ROXBURY SD,3,Social Emotional,2019,97.62
Supervisory Union/School District,MONTPELIER ROXBURY SD,4,Literacy,2019,95.74
Supervisory Union/School District,MONTPELIER ROXBURY SD,4,Math,2019,95.74
Supervisory Union/School District,MONTPELIER ROXBURY SD,4,Social Emotional,2019,95.74
Supervisory Union/School District,MOUNTAIN VIEWS SU,3,Literacy,2019,90.91
Supervisory Union/School District,MOUNTAIN VIEWS SU,3,Math,2019,96.97
Supervisory Union/School District,MOUNTAIN VIEWS SU,3,Social Emotional,2019,87.88
Supervisory Union/School District,MOUNTAIN VIEWS SU,4,Literacy,2019,96.67
Supervisory Union/School District,MOUNTAIN VIEWS SU,4,Math,2019,86.67
Supervisory Union/School District,MOUNTAIN VIEWS SU,4,Social Emotional,2019,83.33
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,3,Literacy,2019,86.96
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,3,Math,2019,93.48
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,3,Social Emotional,2019,86.96
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,4,Literacy,2019,93.33
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,4,Math,2019,81.67
Supervisory Union/School District,MT ABRAHAM UNIFIED SCHOOL DISTRI,4,Social Emotional,2019,88.33
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Literacy,2019,84.89
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Math,2019,94.96
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,3,Social Emotional,2019,87.77
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,4,Literacy,2019,96.71
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,4,Math,2019,91.45
Supervisory Union/School District,MT MANSFIELD UNIFIED UNION SCHOO,4,Social Emotional,2019,92.76
Supervisory Union/School District,NORTH COUNTRY SU,3,Literacy,2019,79.57
Supervisory Union/School District,NORTH COUNTRY SU,3,Math,2019,93.55
Supervisory Union/School District,NORTH COUNTRY SU,3,Social Emotional,2019,89.25
Supervisory Union/School District,NORTH COUNTRY SU,4,Literacy,2019,88.41
Supervisory Union/School District,NORTH COUNTRY SU,4,Math,2019,81.88
Supervisory Union/School District,NORTH COUNTRY SU,4,Social Emotional,2019,84.78
Supervisory Union/School District,ORANGE EAST SU,3,Literacy,2019,74.36
Supervisory Union/School District,ORANGE EAST SU,3,Math,2019,89.74
Supervisory Union/School District,ORANGE EAST SU,3,Social Emotional,2019,87.18
Supervisory Union/School District,ORANGE EAST SU,4,Literacy,2019,90.91
Supervisory Union/School District,ORANGE EAST SU,4,Math,2019,84.09
Supervisory Union/School District,ORANGE EAST SU,4,Social Emotional,2019,84.09
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Literacy,2019,73.08
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Math,2019,73.08
Supervisory Union/School District,ORANGE SOUTHWEST SD,3,Social Emotional,2019,88.46
Supervisory Union/School District,ORANGE SOUTHWEST SD,4,Literacy,2019,75
Supervisory Union/School District,ORANGE SOUTHWEST SD,4,Math,2019,71.43
Supervisory Union/School District,ORANGE SOUTHWEST SD,4,Social Emotional,2019,89.29
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Literacy,2019,84
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Math,2019,84
Supervisory Union/School District,ORLEANS CENTRAL SU,3,Social Emotional,2019,76
Supervisory Union/School District,ORLEANS CENTRAL SU,4,Literacy,2019,92.45
Supervisory Union/School District,ORLEANS CENTRAL SU,4,Math,2019,84.91
Supervisory Union/School District,ORLEANS CENTRAL SU,4,Social Emotional,2019,81.13
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Literacy,2019,90.63
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Math,2019,90.63
Supervisory Union/School District,ORLEANS SOUTHWEST SU,3,Social Emotional,2019,81.25
Supervisory Union/School District,ORLEANS SOUTHWEST SU,4,Literacy,2019,87.5
Supervisory Union/School District,ORLEANS SOUTHWEST SU,4,Math,2019,83.33
Supervisory Union/School District,ORLEANS SOUTHWEST SU,4,Social Emotional,2019,83.33
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Literacy,2019,89.47
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Math,2019,89.47
Supervisory Union/School District,RIVENDELL INTERSTATE SD,3,Social Emotional,2019,78.95
Supervisory Union/School District,RIVENDELL INTERSTATE SD,4,Literacy,2019,90
Supervisory Union/School District,RIVENDELL INTERSTATE SD,4,Math,2019,70
Supervisory Union/School District,RIVENDELL INTERSTATE SD,4,Social Emotional,2019,70
Supervisory Union/School District,RUTLAND CITY SD,3,Literacy,2019,61.9
Supervisory Union/School District,RUTLAND CITY SD,3,Math,2019,71.43
Supervisory Union/School District,RUTLAND CITY SD,3,Social Emotional,2019,69.05
Supervisory Union/School District,RUTLAND CITY SD,4,Literacy,2019,70.31
Supervisory Union/School District,RUTLAND CITY SD,4,Math,2019,67.19
Supervisory Union/School District,RUTLAND CITY SD,4,Social Emotional,2019,71.88
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Literacy,2019,91.18
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Math,2019,97.06
Supervisory Union/School District,RUTLAND NORTHEAST SU,3,Social Emotional,2019,94.12
Supervisory Union/School District,RUTLAND NORTHEAST SU,4,Literacy,2019,100
Supervisory Union/School District,RUTLAND NORTHEAST SU,4,Math,2019,100
Supervisory Union/School District,RUTLAND NORTHEAST SU,4,Social Emotional,2019,93.94
Supervisory Union/School District,SLATE VALLEY UUSD,3,Literacy,2019,90.2
Supervisory Union/School District,SLATE VALLEY UUSD,3,Math,2019,98.04
Supervisory Union/School District,SLATE VALLEY UUSD,3,Social Emotional,2019,96.08
Supervisory Union/School District,SLATE VALLEY UUSD,4,Literacy,2019,94.12
Supervisory Union/School District,SLATE VALLEY UUSD,4,Math,2019,86.27
Supervisory Union/School District,SLATE VALLEY UUSD,4,Social Emotional,2019,90.2
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Literacy,2019,91.26
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Math,2019,95.15
Supervisory Union/School District,SOUTH BURLINGTON SD,3,Social Emotional,2019,92.23
Supervisory Union/School District,SOUTH BURLINGTON SD,4,Literacy,2019,100
Supervisory Union/School District,SOUTH BURLINGTON SD,4,Math,2019,89.81
Supervisory Union/School District,SOUTH BURLINGTON SD,4,Social Emotional,2019,91.67
Supervisory Union/School District,SOUTHWEST VERMONT SU,3,Literacy,2019,89.12
