Category,Basic Needs,Child Care,Child Development,Demographics,Economics,Education,Housing,Mental Health,Physical Health,Resilience,UPK,Workforce,Goal 1: Children Have a Healthy Start,Goal 2: Families and Communities Play A Leading Role,Goal 3: Access to High-Quality Opportunities,"Goal 4: Integrated, Well-Resourced, and Data-Informed System","AHS District, BBF Region, Health Services District",County,Hospital Service Area,Vermont
PH:Perinatal health,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PH:Other,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R:Cost of living,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R:Food security and nutrition,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R:Housing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R:Mental health,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R:Other environmental factors,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
R:Social and emotional,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UPK:UPK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Workforce:Workforce,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
G1:Physical Health,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G1:Mental Health,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G1:Development and Education,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G1:Basic Needs,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G1:Other,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G2:Strong Families,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G2:Strong Communities,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"G2:Family Partnership, Leadership, and Decision-Making",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
G3:Physical Health Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G2:Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G3:Mental Health Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G3:Development and Education Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G3:Basic Needs Access,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G3:Early Childhood Workforce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
G3:Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"G4:Integrated, Well-Resourced, Data Informed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AHS:AHS District, BBF Region, Health Services District",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HSA:Hospital Service Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
County:County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vermont:Basic Needs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermont:Development and Education,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermont:Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermont:Demographics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Vermont:Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
