geo_type,geography,age_range,year,count
BBF Region,Franklin and Grand Isle,Under 9,2023,56
BBF Region,Franklin and Grand Isle,Under 9,2024,65
BBF Region,Franklin and Grand Isle,Under 9,2025,64
BBF Region,Caledonia and Southern Essex,Under 9,2014,36
BBF Region,Caledonia and Southern Essex,Under 9,2015,55
BBF Region,Caledonia and Southern Essex,Under 9,2016,46
BBF Region,Caledonia and Southern Essex,Under 9,2017,39
BBF Region,Caledonia and Southern Essex,Under 9,2018,38
BBF Region,Caledonia and Southern Essex,Under 9,2019,27
BBF Region,Caledonia and Southern Essex,Under 9,2020,28
BBF Region,Caledonia and Southern Essex,Under 9,2021,30
BBF Region,Caledonia and Southern Essex,Under 9,2022,24
BBF Region,Caledonia and Southern Essex,Under 9,2023,21
BBF Region,Caledonia and Southern Essex,Under 9,2024,18
BBF Region,Caledonia and Southern Essex,Under 9,2025,21
State,Vermont,5-Mar,2013,112
State,Vermont,5-Mar,2014,154
State,Vermont,5-Mar,2015,251
State,Vermont,5-Mar,2016,240
State,Vermont,5-Mar,2017,200
State,Vermont,5-Mar,2018,228
State,Vermont,5-Mar,2019,235
State,Vermont,5-Mar,2020,181
State,Vermont,5-Mar,2021,151
State,Vermont,5-Mar,2022,175
State,Vermont,5-Mar,2023,174
State,Vermont,5-Mar,2024,163
State,Vermont,5-Mar,2025,131
State,Vermont,8-Jun,2013,100
State,Vermont,8-Jun,2014,117
State,Vermont,8-Jun,2015,174
State,Vermont,8-Jun,2016,198
State,Vermont,8-Jun,2017,170
State,Vermont,8-Jun,2018,172
State,Vermont,8-Jun,2019,178
State,Vermont,8-Jun,2020,152
State,Vermont,8-Jun,2021,146
State,Vermont,8-Jun,2022,129
State,Vermont,8-Jun,2023,127
State,Vermont,8-Jun,2024,116
State,Vermont,8-Jun,2025,111
State,Vermont,0-2,2013,174
State,Vermont,0-2,2014,238
State,Vermont,0-2,2015,270
State,Vermont,0-2,2016,283
State,Vermont,0-2,2017,248
State,Vermont,0-2,2018,257
State,Vermont,0-2,2019,246
State,Vermont,0-2,2020,208
State,Vermont,0-2,2021,223
State,Vermont,0-2,2022,237
State,Vermont,0-2,2023,173
State,Vermont,0-2,2024,170
State,Vermont,0-2,2025,154
State,Vermont,Under 9,2013,386
State,Vermont,Under 9,2014,509
State,Vermont,Under 9,2015,695
State,Vermont,Under 9,2016,721
State,Vermont,Under 9,2017,618
State,Vermont,Under 9,2018,657
State,Vermont,Under 9,2019,659
State,Vermont,Under 9,2020,541
State,Vermont,Under 9,2021,520
State,Vermont,Under 9,2022,541
State,Vermont,Under 9,2023,474
State,Vermont,Under 9,2024,449
State,Vermont,Under 9,2025,396
